clust_RCSI,clust_RCSI_predict
12.3125,4.6599622
5.352941,3.4949484
5.0799999,3.5657969
4.2857141,4.5405121
.8125,3.9655628
10.842105,3.4176424
2.0869565,3.6987782
2.1500001,4.1268125
3.090909,3.9209208
2.25,6.1481266
2.8888888,2.6655421
8.2857141,4.000545
7.0454545,6.6310029
3.3809524,2.9978533
2.2222223,5.5856562
3.8571429,6.1870441
4.1428571,2.0593352
1.1363636,4.2582269
4.1999998,6.2848029
3.25,3.8355329
4.1999998,5.3553953
7.5454545,5.4860969
3.5263157,5.6134467
10.166667,5.6466823
4,5.4411001
8.5625,6.3408189
6.2105265,7.7853856
9.4705887,6.3350983
2.3181818,1.5314585
8.2631578,4.6090283
4.4705882,3.674814
3.8823528,3.387851
6.125,3.1123676
3.6111112,3.1653302
2.0555556,2.0153832
4.8888888,3.7087228
1.7619047,2.6281061
.86666667,4.5115905
1.25,3.5897048
.2631579,4.0063267
.8125,4.356164
2.5294118,3.2911384
.625,2.344877
3.0999999,2.2250152
3.5,2.4121904
5.0500002,3.0944083
3.652174,3.7306123
1.1304348,3.3691399
3.9130435,3.9397354
3.1481481,3.7154093
1.7777778,3.6855636
1.8333334,2.7877874
5.8888888,4.4769764
8.6499996,3.978611
4.4347825,2.6577554
4.3888888,3.7753334
4.4583335,4.1423087
1.6666666,4.0631614
5.75,3.3121674
11.85,4.1643763
2.75,4.3428354
2.7894738,1.8161421
1.3214285,2.1775465
.90909094,1.3568039
2.8636363,1.4874797
1.6842105,1.2139206
7.652174,2.7021797
.15000001,-.37272331
4.125,2.7183766
4.4375,2.9680858
3.8125,3.1330445
4.8421054,4.1943564
7,4.2554593
7.4705882,4.5393095
4.3684211,4.2888937
3.1904762,4.1766663
3.4705882,4.5466943
2.3,2.5882123
8.0526314,3.5494635
2.4736843,3.948499
8.4210529,3.4552224
2.1428571,3.5270183
7.0952382,3.4288335
13.722222,4.2811732
10.714286,3.905359
2.5238094,2.4024003
12,5.2876554
9.25,5.1224666
3.75,3.4970818
4.6666665,3.5968761
4.6111112,3.0077951
4.1176472,1.4215745
3,3.3047972
5.909091,1.9770982
1.5263158,2.9492054
3,2.0024633
3.4000001,2.2693415
4.125,2.5296419
3.3125,3.5319488
2.8636363,3.9241521
2.5882354,3.9673147
.78947371,3.1906629
3.1818182,3.6635935
3.5882354,3.1727619
3.5,3.8176136
3.3529413,3.8761344
2,3.5141861
4.4666667,3.4532967
2.4375,4.118155
2.4736843,4.0390649
.095238097,.74949199
2.2608695,3.3619876
3.3,3.8223472
7,4.3937721
1.7826087,3.9307494
4.5714288,4.0503602
2.72,2.4265854
2.6111112,3.230921
3.1500001,2.902143
5.1999998,3.8308175
5.3157897,3.6398358
7.1500001,3.8623424
6.6666665,3.934175
6,3.5872324
2.7391305,3.5888312
3.2592592,4.2062469
4.352941,3.2012722
4.7222223,3.757786
.75,2.7086706
2.8,2.5932062
4.3000002,4.3212032
2.6842105,3.7845068
4.6999998,3.9961421
6.8571429,3.8444562
1.2857143,4.375227
4.4761906,5.3583407
2.3529413,3.81145
3.0454545,3.8451226
2.8571429,3.4553366
1.9375,2.4572878
3.5,2.6657751
4.0526314,2.6111183
6.1875,4.6474719
10.55,6.0705547
8.043478,5.3523946
7.1052632,4.3629823
4.5238094,4.1015911
3,3.608587
7.818182,4.0364566
3.2777777,2.8517246
4,1.6421949
1.9130435,2.3021321
5.3333335,2.6066537
1.1578947,2.503159
5.1428571,1.2818843
3.4761906,.5054968
