clust_logFCS,clust_logFCS_predict
3.6660154,3.5493107
3.7188785,3.7860594
3.7998304,4.0720782
3.8448913,3.6407101
3.6879361,3.6407413
3.7841516,3.7627892
3.8374259,3.6650784
3.8953035,3.6835129
3.8047087,3.5828931
3.6172888,3.8259139
3.6439795,3.7459049
3.4990628,3.580363
3.4933577,3.7055957
3.6403515,3.6272228
3.6665723,3.8888235
3.84376,3.7792957
4.0433965,4.0529971
3.7008128,3.6864142
3.7441485,3.7804797
3.6215286,3.6913476
3.862515,3.7519889
3.9374404,3.7609718
3.8079872,3.7202575
3.9977124,3.8434739
3.8358147,3.7709289
3.7830768,3.6676321
3.8918312,3.9708772
3.7758429,3.8839049
4.1514988,4.1924067
3.8444798,3.9202168
3.8362947,3.7247393
3.6930976,3.6911457
3.6518881,3.7267525
3.7350838,3.7801912
3.9886575,4.0669389
3.7446616,4.0498481
3.93312,3.9359722
3.7440948,3.6762774
3.7857857,3.6670091
3.7116849,3.6364
3.8871653,3.6670721
3.9496818,3.6592803
4.2388158,4.0070753
3.9722149,4.1072626
3.8195713,3.9784849
3.7748787,3.8148663
3.9916737,3.6554384
3.8403809,3.6636264
3.8244824,3.6994336
3.8742146,3.630549
3.7777686,3.6817374
3.9021387,3.771878
3.7166927,3.5438111
3.5496531,3.5831535
3.9362974,3.8826759
3.7444925,3.6577184
3.5289705,3.6934898
3.5693336,3.5734372
3.6268327,3.6564417
3.4981892,3.5204666
3.6486998,3.641284
4.1787114,4.0729246
4.0011086,3.9960346
4.2960067,4.2379212
4.1393027,4.1870403
4.1048226,4.1552577
3.8897817,3.8442452
4.4301381,4.6489329
3.8571975,3.8509557
4.1035881,3.8488939
3.9184604,3.7884831
3.6246924,3.661355
3.6686556,3.6387401
3.6704962,3.6260037
3.7689302,3.672689
3.7852209,3.5712435
3.7130654,3.5448964
4.0658445,4.0503211
4.0676599,3.7964766
4.0440907,3.7376392
3.7745514,3.7161548
3.8609583,3.6887693
3.9285622,3.729861
3.7701697,3.7849078
3.7868888,3.7137554
3.9609897,3.9663661
3.7418106,3.4991488
3.7601032,3.6830895
3.7442036,3.7778118
3.6866508,3.7461262
3.8576705,3.8059554
4.307807,4.118103
4.0041785,3.8101101
4.1439509,4.0995865
4.1076107,3.9597065
4.0758004,4.0483131
3.9102142,3.8990457
4.0183487,3.8517313
3.8182402,3.661145
3.9712291,3.8050463
3.7441885,3.7433741
3.9448898,3.9842365
3.745857,3.812407
3.7006366,3.8933022
3.7242777,3.8280683
3.6038883,3.8161187
4.0880117,3.6042624
3.8565178,3.6881087
3.8771565,3.5650921
3.8044646,3.6545477
4.4177699,4.5103226
3.9529483,3.7031109
3.9882655,3.6707125
3.782285,3.612174
3.9465747,3.5933626
3.8390801,3.6368144
3.9228625,4.0016065
4.0240684,3.8825507
3.9198496,3.8360436
3.6902764,3.5512223
3.4244342,3.5477438
3.6624522,3.5907848
3.6410766,3.6525643
3.6560838,3.5753005
3.8188958,3.6828055
3.6584873,3.5982754
3.6556187,3.6173241
3.6803482,3.6844742
4.0570364,4.0317364
4.0009079,3.9177706
3.933511,3.6374214
3.9245605,3.6592317
3.888823,3.6695781
3.9735847,3.7332978
3.7099979,3.604624
3.8880391,3.5461226
3.7848067,3.7025409
3.7995741,3.6275401
3.8336868,3.7386813
4.070292,4.0249324
3.8762567,3.8098288
3.9872594,3.9406707
3.8244545,3.6393108
3.7324572,3.441958
3.8186865,3.4872644
3.9912584,3.7242913
3.8286057,3.6808622
3.8511894,3.7298505
3.7493882,3.7097237
4.1048164,3.92803
4.1718726,4.1767864
3.9400933,3.8648369
4.0186462,3.8720293
4.0405884,3.9288671
4.1376033,4.008563
4.3435025,4.4570317
